birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
"Amsterdam, Netherlands","Right-Handed, One-Handed Backhand",Igor Sijsling,187,http://www.atpworldtour.com/en/players/igor-sijsling/sf36/overview,NED,191,1987.08.18,131,133,"Hoogstraten, Belgium",25,434
"Skara, Sweden","Right-Handed, Two-Handed Backhand",Elias Ymer,173,http://www.atpworldtour.com/en/players/elias-ymer/y218/overview,SWE,183,1996.04.10,132,123,"Stockholm, Sweden",26,432
"Tampa, FL","Left-Handed, Two-Handed Backhand",Austin Krajicek,175,http://www.atpworldtour.com/en/players/austin-krajicek/ka00/overview,USA,188,1990.06.16,133,134,"Bradenton, FL",27,432
"Basel, Switzerland","Right-Handed, Two-Handed Backhand",Marco Chiudinelli,187,http://www.atpworldtour.com/en/players/marco-chiudinelli/c582/overview,SUI,185,1981.09.10,134,135,"Basel, Switzerland",23,432
"Deggendorf, Germany","Right-Handed, One-Handed Backhand",Daniel Brands,203,http://www.atpworldtour.com/en/players/daniel-brands/bc72/overview,GER,196,1987.07.17,135,136,"Bogen, Germany",20,429
"Tandil, Argentina","Right-Handed, Two-Handed Backhand",Maximo Gonzalez,165,http://www.atpworldtour.com/en/players/maximo-gonzalez/g585/overview,ARG,175,1983.07.20,136,137,"Tandil, Argentina",27,428
"Medellin, Colombia","Right-Handed, Two-Handed Backhand",Alejandro Gonzalez,182,http://www.atpworldtour.com/en/players/alejandro-gonzalez/g892/overview,COL,191,1989.02.07,137,139,"Medellin, Colombia",27,421
"Providence, RI, USA","Right-Handed, Two-Handed Backhand",Jared Donaldson,160,http://www.atpworldtour.com/en/players/jared-donaldson/dc58/overview,USA,188,1996.10.09,138,147,"Irvine, CA, USA",29,421
"Bratislava, Slovakia","Right-Handed, Two-Handed Backhand",Jozef Kovalik,183,http://www.atpworldtour.com/en/players/jozef-kovalik/kc04/overview,SVK,183,1992.11.04,139,140,"Bratislava, Slovakia",26,413
"Wuhan, China","Right-Handed, Two-Handed Backhand",Di Wu,143,http://www.atpworldtour.com/en/players/di-wu/w571/overview,CHN,175,1991.09.14,140,141,"Shanghai, China",30,409
"Karvina, Czech Republic","Right-Handed, Two-Handed Backhand",Radek Stepanek,167,http://www.atpworldtour.com/en/players/radek-stepanek/s694/overview,CZE,185,1978.11.27,141,159,"Monte Carlo, Monaco",20,405
"Castel del Piano, Italy","Right-Handed, Two-Handed Backhand",Luca Vanni,207,http://www.atpworldtour.com/en/players/luca-vanni/v495/overview,ITA,198,1985.06.04,142,142,"Foiano della Chiana, Italy",32,404
"Valencia, Spain","Right-Handed, Two-Handed Backhand",Daniel Gimeno-Traver,176,http://www.atpworldtour.com/en/players/daniel-gimeno-traver/g676/overview,ESP,183,1985.08.07,143,125,"Nules, Castellon, Spain",28,404
Cordoba,"Right-Handed, Two-Handed Backhand",Facundo Arguello,170,http://www.atpworldtour.com/en/players/facundo-arguello/a941/overview,ARG,178,1992.08.04,144,143,Cordoba,31,402
"Sibenik, Croatia","Right-Handed, Two-Handed Backhand",Franko Skugor,212,http://www.atpworldtour.com/en/players/franko-skugor/sf76/overview,CRO,198,1987.09.20,145,146,"Zagreb,Croatia",23,402
"Jesenice, Slovenia","Right-Handed, Two-Handed Backhand",Grega Zemlja,179,http://www.atpworldtour.com/en/players/grega-zemlja/z189/overview,SLO,183,1986.09.29,146,161,"Kranj, Slovenia",23,399
"Adelaide, Australia",Right-Handed,Thanasi Kokkinakis,181,http://www.atpworldtour.com/en/players/thanasi-kokkinakis/kd46/overview,AUS,196,1996.04.10,147,144,"Adelaide, Australia",14,397
"Bordeaux, France","Left-Handed, One-Handed Backhand",Kenny De Schepper,229,http://www.atpworldtour.com/en/players/kenny-de-schepper/d750/overview,FRA,203,1987.05.29,148,145,"Toulouse, France",20,391
"Montpellier, France",Left-Handed,Vincent Millot,165,http://www.atpworldtour.com/en/players/vincent-millot/me31/overview,FRA,173,1986.01.30,149,149,"Dijon, France",26,389
,Vladimir Novikov,Dennis Novikov,200,http://www.atpworldtour.com/en/players/dennis-novikov/n674/overview,USA,193,1993.11.06,150,148,"Right-Handed, Two-Handed Backhand",27,388
"Chisinau, Moldova",Right-Handed,Radu Albot,154,http://www.atpworldtour.com/en/players/radu-albot/a829/overview,MDA,175,1989.11.11,151,156,"Chisinau, Moldova",28,387
"Cuenca, Spain","Right-Handed, Two-Handed Backhand",Pablo Andujar,167,http://www.atpworldtour.com/en/players/pablo-andujar/a596/overview,ESP,180,1986.01.23,152,81,"Namur, Belgium",20,385
India,"Right-Handed, Two-Handed Backhand",Saketh Myneni,187,http://www.atpworldtour.com/en/players/saketh-myneni/me64/overview,IND,193,1987.10.19,153,150,"Vizag, IND & Connecticut, USA",24,383
"Chascomus, Argentina","Right-Handed, One-Handed Backhand",Carlos Berlocq,178,http://www.atpworldtour.com/en/players/carlos-berlocq/b884/overview,ARG,183,1983.02.03,154,153,"Buenos Aires, Argentina",17,367
Merlo,"Right-Handed, One-Handed Backhand",Nicolas Kicker,165,http://www.atpworldtour.com/en/players/nicolas-kicker/kc29/overview,ARG,178,1992.08.16,155,157,"Merlo and Buenos Aires, Argent",28,367
"Cali, Colombia","Left-Handed, Two-Handed Backhand",Alejandro Falla,169,http://www.atpworldtour.com/en/players/alejandro-falla/f444/overview,COL,185,1983.11.14,156,155,"Medellin, Colombia",24,363
"Townsville, Australia",Left-Handed,John-Patrick Smith,185,http://www.atpworldtour.com/en/players/john-patrick-smith/sj55/overview,AUS,188,1989.01.24,157,151,"Townsville, Australia",26,363
"Samarkand, Uzbekistan","Right-Handed, Two-Handed Backhand",Marsel Ilhan,183,http://www.atpworldtour.com/en/players/marsel-ilhan/k771/overview,TUR,191,1987.06.11,158,152,"Istanbul, Turkey",27,353
"Shreveport, Louisiana, USA","Right-Handed, Two-Handed Backhand",Ryan Harrison,185,http://www.atpworldtour.com/en/players/ryan-harrison/h940/overview,USA,188,1992.05.07,159,158,"Austin, Texas, USA",26,352
"Nanjing, China","Right-Handed, Two-Handed Backhand",Ze Zhang,183,http://www.atpworldtour.com/en/players/ze-zhang/z272/overview,CHN,188,1990.07.04,160,166,"Nanjing, China",24,342
"Mokrin, Serbia","Right-Handed, Two-Handed Backhand",Pedja Krstin,161,http://www.atpworldtour.com/en/players/pedja-krstin/kd70/overview,SRB,183,1994.09.03,161,164,"Mokrin, Serbia",26,342
"Rosario, Argentina","Right-Handed, Two-Handed Backhand",Renzo Olivo,160,http://www.atpworldtour.com/en/players/renzo-olivo/o376/overview,ARG,180,1992.03.15,162,167,"Rosario, Argentina",25,337
"Moscow, Russia","Right-Handed, Two-Handed Backhand",Andrey Rublev,144,http://www.atpworldtour.com/en/players/andrey-rublev/re44/overview,RUS,188,1997.10.20,163,154,"Moscow, Russia",27,334
"Porto Alegre, Brazil",Right-Handed,Andre Ghem,190,http://www.atpworldtour.com/en/players/andre-ghem/g602/overview,BRA,193,1982.05.29,164,163,"Novo Hamburgo, Brazil",30,334
"Oostende, Belgium","Right-Handed, Two-Handed Backhand",Kimmer Coppejans,149,http://www.atpworldtour.com/en/players/kimmer-coppejans/cg33/overview,BEL,188,1994.02.07,165,171,"Oostende, Belgium",26,333
"Santiago, Chile",Right-Handed,Gonzalo Lama,181,http://www.atpworldtour.com/en/players/gonzalo-lama/lb07/overview,CHI,180,1993.04.27,166,213,"Santiago, Chile",24,333
"Glendale, CA, USA","Right-Handed, Two-Handed Backhand",Alexander Sarkissian,175,http://www.atpworldtour.com/en/players/alexander-sarkissian/sl07/overview,USA,191,1990.04.03,167,165,"Glendale, CA, USA",29,332
"Milan, Italy","Left-Handed, One-Handed Backhand",Andrea Arnaboldi,159,http://www.atpworldtour.com/en/players/andrea-arnaboldi/a622/overview,ITA,,1987.12.27,168,170,"Cantu, Italy",34,330
"Tallinn, Estonia",Right-Handed,Jurgen Zopp,194,http://www.atpworldtour.com/en/players/jurgen-zopp/z254/overview,EST,191,1988.03.29,169,162,"Tallinn, Estonia",24,329
,,Eduardo Struvay,,http://www.atpworldtour.com/en/players/eduardo-struvay/si36/overview,COL,,1990.12.17,170,169,,17,327
"Lubeck, Germany","Right-Handed, Two-Handed Backhand",Tobias Kamke,168,http://www.atpworldtour.com/en/players/tobias-kamke/k839/overview,GER,178,1986.05.21,171,174,"Hamburg, Germany",22,319
"Belarus, Minsk","Right-Handed, Two-Handed Backhand",Egor Gerasimov,185,http://www.atpworldtour.com/en/players/egor-gerasimov/gc89/overview,BLR,183,1992.11.11,172,172,"Belarus, Minsk",19,315
"Zwettl, Austria","Right-Handed, Two-Handed Backhand",Andreas Haider-Maurer,196,http://www.atpworldtour.com/en/players/andreas-haider-maurer/h804/overview,AUT,191,1987.03.22,173,168,"Innsbruck, Austria",21,313
"Liège, Belgium","Right-Handed, One-Handed Backhand",Steve Darcis,161,http://www.atpworldtour.com/en/players/steve-darcis/d632/overview,BEL,178,1984.03.13,174,175,"Saive, Belgium",16,311
"Santiago del Estero, Argentina",Right-Handed,Marco Trungelliti,172,http://www.atpworldtour.com/en/players/marco-trungelliti/ta29/overview,ARG,178,1990.01.31,175,180,"Buenos Aires, Argentina",22,308
"Buenos Aires, Argentina",Right-Handed,Guido Andreozzi,176,http://www.atpworldtour.com/en/players/guido-andreozzi/a887/overview,ARG,183,1991.08.05,176,176,"Buenos Aires, Argentina",27,308
"Porto Alegre, Brazil","Right-Handed, Two-Handed Backhand",Guilherme Clezar,174,http://www.atpworldtour.com/en/players/guilherme-clezar/cc32/overview,BRA,183,1992.12.31,177,177,"Porto Alegre, Brazil",29,308
"Yekaterinburg, Russia",Right-Handed,Alexander Kudryavtsev,174,http://www.atpworldtour.com/en/players/alexander-kudryavtsev/k596/overview,RUS,183,1985.10.26,178,178,"St Petersburg, Russia",28,307
"La Spezia, Italy","Left-Handed, Two-Handed Backhand",Alessandro Giannessi,180,http://www.atpworldtour.com/en/players/alessandro-giannessi/g983/overview,ITA,185,1990.05.30,179,179,"La Spezia, Italy",27,306
"London, England","Right-Handed, Two-Handed Backhand",James Ward,163,http://www.atpworldtour.com/en/players/james-ward/w503/overview,GBR,191,1987.02.09,180,173,"London, England",28,303
"Long Island, NY, USA","Right-Handed, Two-Handed Backhand",Noah Rubin,155,http://www.atpworldtour.com/en/players/noah-rubin/rc96/overview,USA,178,1996.02.21,181,181,"Long Island, NY, USA",22,302
"Dachau, Germany",Right-Handed,Peter Gojowczyk,183,http://www.atpworldtour.com/en/players/peter-gojowczyk/g967/overview,GER,185,1989.07.15,182,183,"Munich, Germany",22,300
"Mogi das Cruzes, Brazil","Right-Handed, Two-Handed Backhand",Joao Souza,203,http://www.atpworldtour.com/en/players/joao-souza/sg64/overview,BRA,193,1988.05.27,183,190,"Rio de Janeiro, Brazil",31,300
"Genk, Belgium","Left-Handed, Two-Handed Backhand",Ruben Bemelmans,165,http://www.atpworldtour.com/en/players/ruben-bemelmans/be54/overview,BEL,183,1988.01.14,184,184,"Maasmechelen, Belgium",19,299
"Arad, Romania","Right-Handed, One-Handed Backhand",Marius Copil,190,http://www.atpworldtour.com/en/players/marius-copil/ca99/overview,ROU,193,1990.10.17,185,186,"Arad, Romania",22,298
"Fortaleza, Brazil","Left-Handed, Two-Handed Backhand",Thiago Monteiro,172,http://www.atpworldtour.com/en/players/thiago-monteiro/mj08/overview,BRA,183,1994.05.31,186,201,"Rio de Janeiro, Brazil",17,297
"Galanta, Slovakia","Right-Handed, Two-Handed Backhand",Norbert Gombos,187,http://www.atpworldtour.com/en/players/norbert-gombos/gb93/overview,SVK,196,1990.08.13,187,185,"Bratislava, Slovakia",25,295
"Volzhskij, Russia","Right-Handed, One-Handed Backhand",Andrey Golubev,174,http://www.atpworldtour.com/en/players/andrey-golubev/g806/overview,KAZ,183,1987.07.22,188,188,"Astana, Kazakhstan",24,293
"Barmera, Australia","Right-Handed, Two-Handed Backhand",Luke Saville,183,http://www.atpworldtour.com/en/players/luke-saville/sm09/overview,AUS,188,1994.01.02,189,189,"Barmera, Australia",24,292
"Gennevilliers, France","Right-Handed, Two-Handed Backhand",Edouard Roger-Vasselin,165,http://www.atpworldtour.com/en/players/edouard-roger-vasselin/r613/overview,FRA,188,1983.11.28,190,191,"Boulogne-Billancourt, France",16,291
"Hyattsville, MD, USA","Right-Handed, Two-Handed Backhand",Frances Tiafoe,170,http://www.atpworldtour.com/en/players/frances-tiafoe/td51/overview,USA,188,1998.01.20,191,182,"Boca Raton, FL, USA",25,288
"Lohja, Finland","Right-Handed, Two-Handed Backhand",Henri Laaksonen,172,http://www.atpworldtour.com/en/players/henri-laaksonen/l949/overview,SUI,185,1992.03.31,192,196,"Glattpark, Switzerland",31,285
"Avignon, France","Right-Handed, Two-Handed Backhand",Mathias Bourgue,183,http://www.atpworldtour.com/en/players/mathias-bourgue/bk19/overview,FRA,188,1994.01.18,193,194,"Paris, France",28,284
"Pitesti, Romania","Right-Handed, One-Handed Backhand",Adrian Ungur,161,http://www.atpworldtour.com/en/players/adrian-ungur/u061/overview,ROU,178,1985.01.22,194,193,"Bucharest, Romania",17,282
"Ptuj, Slovenia","Left-Handed, Two-Handed Backhand",Blaz Rola,187,http://www.atpworldtour.com/en/players/blaz-rola/ra51/overview,SLO,193,1990.10.05,195,160,"Ptuj, Slovenia",27,281
"Sydney, Australia","Right-Handed, Two-Handed Backhand",James Duckworth,181,http://www.atpworldtour.com/en/players/james-duckworth/d994/overview,AUS,183,1992.01.21,196,195,"Sydney, Australia",20,279
"Alushta, Ukraine","Right-Handed, Two-Handed Backhand",Aleksandr Nedovyesov,179,http://www.atpworldtour.com/en/players/aleksandr-nedovyesov/n503/overview,KAZ,193,1987.02.15,197,209,"Astana, Kazakhstan",25,279
"Rehovot, Israel","Right-Handed, One-Handed Backhand",Amir Weintraub,165,http://www.atpworldtour.com/en/players/amir-weintraub/w471/overview,ISR,188,1986.09.16,198,197,Israel,29,278
"Ludwigsburg, Germany","Right-Handed, One-Handed Backhand",Nils Langer,170,http://www.atpworldtour.com/en/players/nils-langer/l908/overview,GER,193,1990.01.25,199,198,"Affalterbach, Germany",22,276
"Marbella, Spain",Right-Handed,Adrian Menendez-Maceiras,163,http://www.atpworldtour.com/en/players/adrian-menendez-maceiras/mb53/overview,ESP,185,1985.10.28,200,187,"Marbella, Spain",25,274
"Voorhees, New Jersey, USA","Right-Handed, Two-Handed Backhand",Tommy Paul,175,http://www.atpworldtour.com/en/players/tommy-paul/pl56/overview,USA,188,1997.05.17,201,192,"Boca Raton, Florida, USA",23,272
"Bondy, France","Right-Handed, Two-Handed Backhand",Quentin Halys,168,http://www.atpworldtour.com/en/players/quentin-halys/hb64/overview,FRA,191,1996.10.26,202,200,"Boulogne Billancourt, France",31,272
"Uccle, Belgium",Right-Handed,Arthur De Greef,161,http://www.atpworldtour.com/en/players/arthur-de-greef/d981/overview,BEL,183,1992.03.27,203,199,"Uccle, Belgium",21,267
"Nyiregyhaza, Hungary",,Marton Fucsovics,176,http://www.atpworldtour.com/en/players/marton-fucsovics/f724/overview,HUN,188,1992.02.08,204,212,"Nyiregyhaza, Hungary",24,264
"Nanjing, China","Right-Handed, Two-Handed Backhand",Yan Bai,176,http://www.atpworldtour.com/en/players/yan-bai/be69/overview,CHN,185,1989.05.21,205,202,"Shanghai, China",31,260
"Skopje, Macedonia","Right-Handed, Two-Handed Backhand",Stefan Kozlov,170,http://www.atpworldtour.com/en/players/stefan-kozlov/ke64/overview,USA,183,1998.02.01,206,224,"Pembroke Pines, Florida, USA",24,258
,,Hans Podlipnik-Castillo,,http://www.atpworldtour.com/en/players/hans-podlipnik-castillo/pb37/overview,CHI,,1988.01.09,207,210,Chile,28,256
"Sarajevo, Bosnia & Herzegovina",Right-Handed,Aldin Setkic,190,http://www.atpworldtour.com/en/players/aldin-setkic/sf41/overview,BIH,191,1987.12.21,208,208,Brusells,30,254
"Tokyo, Japan","Right-Handed, Two-Handed Backhand",Hiroki Moriya,143,http://www.atpworldtour.com/en/players/hiroki-moriya/mi01/overview,JPN,170,1990.10.16,209,204,"Tokyo, Japan",32,253
"Long Beach, CA, USA","Right-Handed, Two-Handed Backhand",Daniel Nguyen,160,http://www.atpworldtour.com/en/players/daniel-nguyen/n555/overview,USA,173,1990.10.16,210,220,"Oxnard, CA, USA",26,251
"Perth, Australia","Right-Handed, Two-Handed Backhand",Brydan Klein,181,http://www.atpworldtour.com/en/players/brydan-klein/k964/overview,GBR,188,1989.12.31,211,207,"Kingston, London, UK",25,250
"TianJin, China","Right-Handed, Two-Handed Backhand",Zhe Li,174,http://www.atpworldtour.com/en/players/zhe-li/l733/overview,CHN,185,1986.09.20,212,211,"TianJin, China",29,250
"Minsk, Belarus",Right-Handed,Uladzimir Ignatik,181,http://www.atpworldtour.com/en/players/uladzimir-ignatik/i236/overview,BLR,183,1990.07.14,213,216,"Belarus, Slovakia",29,249
,,Laslo Djere,,http://www.atpworldtour.com/en/players/laslo-djere/db63/overview,SRB,,1995.06.02,214,241,"Right-Handed, Two-Handed Backhand",23,247
,,Tristan Lamasine,,http://www.atpworldtour.com/en/players/tristan-lamasine/lc11/overview,FRA,,1993.03.05,215,203,,25,247
"Anderlecht, Belgium",Right-Handed,Yannick Mertens,159,http://www.atpworldtour.com/en/players/yannick-mertens/mg08/overview,BEL,188,1987.06.25,216,229,"Ternat, Belgium",30,244
"Rio De Janeiro, Brazil","Right-Handed, Two-Handed Backhand",Christian Lindell,191,http://www.atpworldtour.com/en/players/christian-lindell/la94/overview,SWE,193,1991.11.20,217,232,"Rio De Janeiro, Brazil",29,242
"Barcelona, Spain","Right-Handed, Two-Handed Backhand",Pere Riba,176,http://www.atpworldtour.com/en/players/pere-riba/r750/overview,ESP,183,1988.04.07,218,215,"Barcelona, Spain",25,241
Jechon City,,Duckhee Lee,,http://www.atpworldtour.com/en/players/duckhee-lee/le01/overview,KOR,,1998.05.29,219,206,"Right-Handed, Two-Handed Backhand",33,240
keelung,Right-Handed,Ti Chen,154,http://www.atpworldtour.com/en/players/ti-chen/c813/overview,TPE,183,1983.10.03,220,217,Taiwan,35,240
"Livorno, Italy","Right-Handed, One-Handed Backhand",Filippo Volandri,161,http://www.atpworldtour.com/en/players/filippo-volandri/v254/overview,ITA,183,1981.09.05,221,205,"Livorno, Italy",18,238
"Tashkent, Uzbekistan",Right-Handed,Farrukh Dustov,196,http://www.atpworldtour.com/en/players/farrukh-dustov/d551/overview,UZB,193,1986.05.22,222,227,"Bolzano, Italy",26,234
"Les Lilas, France","Right-Handed, Two-Handed Backhand",Calvin Hemery ,187,http://www.atpworldtour.com/en/players/calvin-hemery/hb48/overview,FRA,188,1995.01.28,223,219,"Paris, FRANCE",26,234
"Chisinau, Moldovia",Right-Handed,Denys Molchanov,180,http://www.atpworldtour.com/en/players/denys-molchanov/mf71/overview,UKR,191,1987.05.16,224,223,"Kiev, Ukraine",28,232
"Marseille, France",Right-Handed,David Guez,165,http://www.atpworldtour.com/en/players/david-guez/g753/overview,FRA,185,1982.12.08,225,222,"Marseille, France",29,232
,,Jordi Samper-Montana,,http://www.atpworldtour.com/en/players/jordi-samper-montana/sh91/overview,ESP,,1990.04.05,226,235,,32,232
,,Federico Gaio,,http://www.atpworldtour.com/en/players/federico-gaio/gb53/overview,ITA,,1992.03.05,227,214,,33,231
,,Axel Michon,,http://www.atpworldtour.com/en/players/axel-michon/mi11/overview,FRA,,1990.12.16,228,218,,21,230
"Sonsonate, El Salvador","Right-Handed, Two-Handed Backhand",Marcelo Arevalo,195,http://www.atpworldtour.com/en/players/marcelo-arevalo/a853/overview,ESA,193,1990.10.17,229,221,"Sonsonate, El Salvador",24,230
Saint-Petersburg,"Right-Handed, Two-Handed Backhand",Dmitry Popko,198,http://www.atpworldtour.com/en/players/dmitry-popko/pg20/overview,KAZ,191,1996.10.24,230,226,"Vienna, Austria",28,229
,Aleksandr Kuprin,Aslan Karatsev,,http://www.atpworldtour.com/en/players/aslan-karatsev/kc56/overview,RUS,,1993.09.04,231,228,"Right-Handed, Two-Handed Backhand",27,228
"Belgrade, Serbia","Right-Handed, Two-Handed Backhand",Nikola Milojevic,165,http://www.atpworldtour.com/en/players/nikola-milojevic/mm66/overview,SRB,188,1995.01.19,232,230,"Belgrade, Serbia",25,222
"Vienna, Austria","Left-Handed, Two-Handed Backhand",Jurgen Melzer,178,http://www.atpworldtour.com/en/players/jurgen-melzer/m762/overview,AUT,183,1981.05.22,233,231,"Deutsch-Wagram, Austria",10,221
